scheme_name,category,description
PM-JANMAN (Pradhan Mantri Janjati Adivasi Nyaya Maha Abhiyan), rural,pm-janman (pradhan mantri janjati adivasi nyaya maha abhiyan) cs mota 2023 tribal welfare to improve the socio-economic conditions of particularly vulnerable tribal groups (pvtgs).
Pradhan Mantri Fasal Bima Yojana (PMFBY),agriculture,third largest insurance scheme globally that shields farmers from crop loss arising from unforeseen events and natural calamities.
PM KISAN SAMMAN NIDHI (PM-KISAN),agriculture,"a central sector scheme providing income support of 6,000 per year in three equal installments to all land-holding farmer families."
Agriculture Infrastructure Fund (AIF),agriculture,a medium-long term debt financing facility for investment in post-harvest management infrastructure and community farming assets.
AgriSURE Fund,agriculture,a category-ii alternative investment fund providing funding to start-ups and rural enterprises in the agriculture sector.
PM-AASHA,agriculture,a scheme to ensure remunerative prices for farmers and control price volatility of essential commodities like pulses and oilseeds.
NAMO DRONE DIDI SCHEME,agriculture,a central sector scheme empowering women-led self-help groups by equipping them with drones for agricultural services.
Prime Minister Dhan-Dhaanya Krishi Yojana,agriculture,targets 100 districts with low productivity to enhance agricultural productivity and adopt crop diversification.
Credit Guarantee Scheme for e-NWR,agriculture,helps farmers access post-harvest loans by leveraging electronic warehouse receipts as collateral to avoid distress selling.
Krishonnati Yojana CSS MoAFW 2017 Agriculture Umbrella,agriculture,krishonnati yojana css moafw 2017 agriculture umbrella scheme subsuming 11 schemes.
Rashtriya Krishi Vikas Yojana,agriculture,"rashtriya krishi vikas yojana(rkvy, national agriculture development programme) css moa 2007 agriculture allocation in 2022-23 crossed  10,400 crore (equivalent to  120 billion or us$1.4 billion in 2023). includes pradhan mantri krishi sinchai yojna (per drop more crop) and agricultural mechanization."
National Mission for Sustainable Agriculture(NMSA),agriculture,national mission for sustainable agriculture(nmsa) css moafw 2014 agriculture to promote sustainable agriculture through climate change adaptation measures.
Pradhan Mantri Krishi Sinchai Yojana(PMKSY),agriculture,pradhan mantri krishi sinchai yojana(pmksy) css moafw 2015 agriculture to improve water use efficiency (per drop more crop).
Pradhan Mantri Kisan Maandhan Yojana (PM-KMY),agriculture ,"a voluntary and contributory pension scheme providing 3,000 monthly to small and marginal farmers after age 60."
National Mission on Natural Farming (NMNF),agriculture ,"a centrally sponsored scheme to promote chemical-free and sustainable agricultural practices across 15,000 clusters."
UDAN 5.5,civil aviation,"promotes last-mile connectivity in remote and hilly regions using seaplanes, choppers, and small aircraft."
PM-WANI,communications,"enhances the proliferation of public wi-fi hotspots to create robust digital communications infrastructure, especially in rural areas."
PM Internship Scheme,corporate affairs,provides 12-month internship opportunities to one crore youth in top 500 companies to enhance employability.
Gyan Bharatam Mission,culture,"a mission focused on the survey, documentation, and conservation of more than one crore indian manuscripts."
PRITHVI VIGYAN,earth sciences,"subsumes five schemes to enhance understanding of the earth and its vital signs like weather, climate, and polar science."
PM-SHRI Scheme,education,"strengthens existing schools to provide high-quality education in equitable, inclusive, and joyful 'green school' environments."
PM Vidyalaxmi Scheme,education,provides collateral-free and guarantor-free loans to meritorious students for pursuing higher education in top institutions.
Rashtriya Uchchatar Shiksha Abhiyan,education,rashtriya uchchatar shiksha abhiyan(national higher education mission) css moe 2013 education improving the quality of higher education in india.
Kasturba Gandhi Balika Vidyalaya,education,kasturba gandhi balika vidyalaya(kasturba gandhi girls school) css mohrd 2004 education educational facilities (residential schools) for girls belonging to sc st obc minority communities and families below the poverty line (bpl) in educationally backward blocks.
Promotion of University Research and Scientific Excellence,education,promotion of university research and scientific excellence(purse)   dst 2009 education to provide support to the performing universities across the country for research and development.
Rajiv Gandhi Scheme for Empowerment of Adolescent Boys,education,rajiv gandhi scheme for empowerment of adolescent boys(sabla) css mowcd 2010 education empowering adolescent boys through education and health awareness.
PM-SHRI (Pradhan Mantri Schools for Rising India),education,pm-shri (pradhan mantri schools for rising india) css moe 2022 education to upgrade and develop more than 14
NIPUN Bharat Mission,education,nipun bharat mission(national initiative for proficiency in reading with understanding and numeracy) cs moe 2021 education to ensure that every child in the country necessarily attains foundational literacy and numeracy by the end of grade 3 by 2026-27.
Swayam Prabha,education,swayam prabha cs moe 2017 education a group of 34 dth channels devoted to telecasting of high-quality educational programmes.
Prerana,education ,an experiential learning program for students of classes 9 to 12 focused on leadership and value-based education.
National Clean Air Programme (NCAP),environment,a long-term strategy to achieve 20% to 40% reduction of pm10 and pm2.5 concentrations in 131 target cities.
Green Credit Programme,environment,a market-based instrument providing tradable green credits for voluntary environmental actions like tree plantation.
National Action Plan for Climate Change(NAPCC) CCP MoST 2008,environment,national action plan for climate change(napcc) ccp most 2008 climate improving science and technology capabilities with regard to climate change.
Saubhagya Yojana(Pradhan Mantri Sahaj Bijli Har Ghar Yojana),environment,saubhagya yojana(pradhan mantri sahaj bijli har ghar yojana) cs mop 2017 energy to provide electricity connections to all un-electrified households.
Pradhan Mantri Ujjwala Yojana(PMUY),environment,pradhan mantri ujjwala yojana(pmuy) cs mopng 2016 energy to provide lpg connections to bpl households.
Deendayal Upadhyaya Gram Jyoti Yojana(DDUGJY),environment,deendayal upadhyaya gram jyoti yojana(ddugjy) cs mop 2014 rural electrification to provide continuous power supply to rural india.
Integrated Power Development Scheme(IPDS),environment,integrated power development scheme(ipds) cs mop 2014 energy to strengthen the sub-transmission and distribution network in urban areas.
National Solar Mission,environment,national solar mission cs mnre 2010 energy to promote solar energy in the country.
MISHTI Scheme,environment ,aims to enhance mangrove coverage along coastlines and saltpan lands while supporting local incomes.
PM-PRANAM,fertilizers & environment,encourages the balanced use of fertilizers and bio-fertilisers by financing states through savings in fertilizer subsidies.
Atal Pension Yojana (APY),finance,"a universal social security system for the unorganized sector providing a guaranteed minimum monthly pension of 1,000 to 5,000."
Pradhan Mantri Mudra Yojana (PMMY),finance,"provides loans up to 20 lakh (tarun plus) to non-corporate, non-farm small and micro enterprises."
NPS Vatsalya,finance,"an innovative pension scheme designed for minors, transitioned to the child's name upon attaining 18 years."
PM Mudra Yojana,finance,pm mudra yojana(pmmy) cs mof 2015 finance and banking to provide loans up to 10 lakh to the non-corporate non-farm small micro enterprises.
Unified Pension Scheme (UPS),finance ,provides an assured pension of 50% of the average basic pay for government employees with at least 25 years of service.
Mutual Credit Guarantee Scheme for MSMEs,finance ,provides 60% guarantee coverage for credit facilities up to 100 crore for msmes to purchase equipment.
PAN 2.0 Project,finance ,"modernizes the pan system into a unified, paperless, online system with integrated qr codes for all digital systems."
National Pension System 2004,finance ,national pension system   mof 2004 pension contribution-based pension system. for government employees in 2004 and the general public in 2009.
Kerosene subsidy CS â€” 1956 Subsidy Eliminated in 2021,finance ,kerosene subsidy cs   1956 subsidy eliminated in 2021.
Svamitva Yojana(Survey of Villages Abadi and Mapping with Im,finance ,svamitva yojana(survey of villages abadi and mapping with improvised technology in village area) cs mopr 2020 rural development to help in mapping of properties in villages with the help of drones. aims in helping to reduce disputes over property. the portal will help in making it easier for villagers to avail bank loans.
Pradhan Mantri Jan Dhan Yojana,finance ,pradhan mantri jan dhan yojana(pmjdy) cs mof 2014 finance and banking financial inclusion campaign.
National Social Assistance Programme(NSAP),finance ,national social assistance programme(nsap) css mord 1995 social welfare to provide financial assistance to elderly widows and persons with disabilities.
Pradhan Mantri Suraksha Bima Yojana(PMSBY),finance ,pradhan mantri suraksha bima yojana(pmsby) cs mof 2015 insurance accident insurance scheme.
Pradhan Mantri Jeevan Jyoti Bima Yojana(PMJJBY),finance ,pradhan mantri jeevan jyoti bima yojana(pmjjby) cs mof 2015 insurance life insurance scheme.
Atal Pension Yojana(APY),finance ,atal pension yojana(apy) cs mof 2015 pension pension scheme for workers in the unorganised sector.
Stand-Up India,finance ,stand-up india cs mof 2016 entrepreneurship to facilitate bank loans between 10 lakh and 1 crore to at least one sc st borrower and one woman borrower per bank branch for setting up a greenfield enterprise.
PM Street Vendor's AtmaNirbhar Nidhi(PM SVANidhi),finance ,pm street vendor's atmanirbhar nidhi(pm svanidhi) cs mohua 2020 micro-credit to provide affordable working capital loans to street vendors.
Food Subsidy,finance ,food subsidy cs mocafpd 1945 subsidy to ensure food security for all citizens.
PM Matsya Kisan Samridhi Sah-Yojana,fisheries,a sub-scheme focused on formalizing the fisheries sector and providing small enterprises with work-based identities.
Pradhan Mantri Garib Kalyan Anna Yojana (PMGKAY),food ,provides 5 kg of food grain per person per month free of cost to economically weaker sections and priority households.
National One Health Mission,health,"integrates human, animal, and environmental sectors for disease surveillance, outbreak response, and pandemic preparedness."
Ayushman Bharat (PM-JAY),health,provides a health cover of 5 lakhs per family per year for secondary and tertiary care hospitalization for the bottom 40% population.
Ayushman Bharat Yojana,health,"ayushman bharat yojana(ab pm-jay, ayushman bharat pradhan mantri jan arogya yojana, people's health scheme) css mohfw 2018 health ayushman bharat national health protection scheme (ab-nhps) aims to provide free access to healthcare for 50 crore people in the country. implemented across india expect 3 states uts. by july 2021 ayushman cards issued numbered 16.14 crore. by march 2022 hospitalisations under the scheme had crossed 30 million with a valuation of  35,000 crore (equivalent to  390 billion or us$4.6 billion in 2023)."
National Health Mission,health,"national health mission css mohfw 2005[n] health to improve india's health sector. financial outlay in 2022 was  28,859 crore (equivalent to  320 billion or us$3.8 billion in 2023). includes a number of (subsumed) programmes such as national mental health programme (1982), national blindness control programme (1976) and national vector borne diseases control programme (2003)."
Soil Health Card Scheme,health,soil health card scheme cs moafw 2015 agriculture to help farmers know the health of their soil and use fertilizers accordingly.
National Mental Health Programme(NMHP),health,national mental health programme(nmhp) cs mohfw 1982 health to address the mental health needs of the population.
Janani Suraksha Yojana(JSY,health,janani suraksha yojana(jsy) css mohfw 2005 health to reduce maternal and neonatal mortality by promoting institutional delivery among poor pregnant women.
Integrated Child Development Services(ICDS,health,integrated child development services(icds) css mowcd 1975 social welfare to improve the nutritional and health status of children in the age-group 0-6 years.
Midday Meal Scheme,health,midday meal scheme (now pm poshan) css moe 1995 education and health to provide free lunch to school children.
Pradhan Mantri Matru Vandana Yojana(PMMVY,health,pradhan mantri matru vandana yojana(pmmvy) css mowcd 2017 health and nutrition a maternity benefit program.
Pradhan Mantri Bhartiya Janaushadhi Pariyojana(PMBJP,health,pradhan mantri bhartiya janaushadhi pariyojana(pmbjp) cs mocf 2008 health to make quality generic medicines available at affordable prices to all.
National Health Protection Scheme (now AB PM-JAY),health,national health protection scheme (now ab pm-jay) css mohfw 2018 health providing insurance cover of 5 lakh per family per year for secondary and tertiary care hospitalization.
Mission Indradhanush,health,mission indradhanush cs mohfw 2014 health to achieve full immunization coverage for all children and pregnant women.
Intensified Mission Indradhanush(IMI),health,intensified mission indradhanush(imi) cs mohfw 2017 health a more focused approach to reach the unreached children and pregnant women.
Rashtriya Bal Swasthya Karyakram(RBSK),health,"rashtriya bal swasthya karyakram(rbsk) css mohfw 2013 health early identification and early intervention for children from birth to 18 years to cover 4 'd's viz. defects at birth, deficiencies, diseases, development delays including disability."
Rashtriya Kishor Swasthya Karyakram(RKSK),health,rashtriya kishor swasthya karyakram(rksk) css mohfw 2014 health to address the health and development needs of adolescents.
National Leprosy Eradication Programme(NLEP),health,national leprosy eradication programme(nlep) cs mohfw 1983 health to eliminate leprosy in india.
Revised National Tuberculosis Control Programme(RNTCP),health,revised national tuberculosis control programme(rntcp) cs mohfw 1997 health to control and eventually eliminate tb in india.
National AIDS Control Programme(NACP),health,national aids control programme(nacp) cs mohfw 1992 health to prevent and control the spread of hiv aids in india.
Pulse Polio Programme,health,pulse polio programme cs mohfw 1995 health to eradicate polio from india.
LaQshya (Labour room Quality improvement Initiative),health,laqshya (labour room quality improvement initiative) cs mohfw 2017 health to improve quality of care in labour room and maternity operation theatre.
SUMAN (Surakshit Matritva Aashwasan),health,suman (surakshit matritva aashwasan) cs mohfw 2019 health to provide assured dignified respectful and quality healthcare at no cost and zero tolerance for denial of services to every woman and newborn visiting a public health facility.
Mission Parivar Vikas,health,mission parivar vikas cs mohfw 2016 health to accelerate access to high-quality family planning choices based on information reliable services and supplies.
E-Sanjeevani,health,e-sanjeevani cs mohfw 2019 health a national telemedicine service.
Prime Minister's Overarching Scheme for Holistic Nourishmen,health,prime minister's overarching scheme for holistic nourishment(poshan abhiyaan) css mowcd 2018 health and nutrition to reduce stunting under-nutrition anemia and low birth weight in children.
PM Swasthya Suraksha Yojana(PMSSY PM Health Protection Sche,health,pm swasthya suraksha yojana(pmssy pm health protection scheme) cs mohfw 2003 health improving distribution and accessibility of health services. new aiims will be constructed under the scheme.
PM Poshan Shakti Nirman Abhiyaan,health,"pm poshan shakti nirman abhiyaan(pm-poshan, prime minister's overarching scheme for holistic nourishment, (lit) pm nutrition power building scheme) css mowcd 2021[n] health, education revamped version of 1995 midday meal scheme to provide free lunch to school children. financial outlay in 2022 was  10,233 crore (equivalent to  110 billion or us$1.4 billion in 2023). grouped under the umbrella scheme ""saksham anganwadi and poshan 2..."
"THE REMISSION OF DUTIES AND TAXES ON EXPORTED 
PRODUCTS (RoDTEP)",industry,"provides a refund of central, state, and local duties and taxes levied on exported products to boost global competitiveness."
"UTTAR POORVA TRANSFORMATIVE INDUSTRIALIZATION 
SCHEME (UNNATI)",industry,a central sector scheme for gainful employment and industrial development in the north eastern region of india.
PM-DEVINE,regional development,a central sector scheme to address development gaps and enable livelihood activities for youth and women in the north east.
PM Adarsh Gram Yojana(PM Model Village Scheme),rural,pm adarsh gram yojana(pm model village scheme)   mord 2010 model village integrated development of schedule caste majority villages.
National Creche Scheme,rural,national creche scheme css mowcd 2006 rajiv gandhi national cr che scheme for working mothers
Pradhan Mantri Awas Yojana(PMAY,rural,pradhan mantri awas yojana(pmay) css mohua and mord 2015 housing to provide affordable housing for all by 2022.
Deendayal Antyodaya Yojana(DAY-NRLM,rural,deendayal antyodaya yojana(day-nrlm) css mord 2011 rural development to reduce poverty by promoting sustainable livelihood.
Mission Shakti (Mission for Empowerment and Protection of Wo,rural,mission shakti (mission for empowerment and protection of women) css mowcd 2022 women's empowerment this mission aims to create a safe and secure environment for women and empower them through various sub-schemes like sambal and samarthya.
Beti Bachao Beti Padhao(BBBP,rural,beti bachao beti padhao(bbbp) cs mowcd 2015 social welfare to address the declining child sex ratio and empower the girl child.
Sukanya Samriddhi Yojana(SSY,rural,sukanya samriddhi yojana(ssy) cs mowcd 2015 savings scheme a small savings scheme for the girl child.
Jal Jeevan Mission(JJM,rural,jal jeevan mission(jjm) css mojs 2019 water to provide functional household tap connections to all rural households by 2024.
Mahatma Gandhi National Rural Employment Guarantee Act(MGNREGA,rural,mahatma gandhi national rural employment guarantee act(mgnrega) css mord 2005 rural employment to guarantee at least 100 days of wage employment in a financial year to every rural household.
Pradhan Mantri Garib Kalyan Anna Yojana(PMGKAY),rural,pradhan mantri garib kalyan anna yojana(pmgkay) cs mocafpd 2020 food security to provide free food grains to the poor during the covid-19 pandemic.
Antyodaya Anna Yojana(AAY),rural,antyodaya anna yojana(aay) cs mocafpd 2000 food security to provide highly subsidized food grains to the poorest of the poor.
National Food Security Act(NFSA),rural,national food security act(nfsa) cs mocafpd 2013 food security legal entitlement to subsidized food grains for up to 75% of the rural and 50% of the urban population.
One Nation One Ration Card(ONORC),rural,one nation one ration card(onorc) cs mocafpd 2019 food security to ensure that all beneficiaries can access their food grains anywhere in the country.
Pradhan Mantri Gramin Awas Yojana(PMAY-G),rural,pradhan mantri gramin awas yojana(pmay-g) css mord 2016 housing to provide a pucca house with basic amenities to all houseless householders and those households living in kutcha and dilapidated houses by 2022.
Rashtriya Gram Swaraj Abhiyan(RGSA ),rural,rashtriya gram swaraj abhiyan(rgsa national village self-governance mission) css mopr 2018 rural development to strengthen panchayati raj institutions (pris) across the country.
Aspirational Districts Programme,rural,aspirational districts programme cs niti aayog 2018 regional development to improve the socio-economic status of 112 most backward districts across india.
Lakhpati Didi Scheme,rural ,empowers rural women in self-help groups to earn a sustainable income of at least 1 lakh per annum.
PM Vishwakarma Yojana,skill,"uplifts traditional artisans through recognition, skill upgradation, toolkit incentives, and collateral-free loans."
PM Vishwakarma Scheme,skill,pm vishwakarma scheme cs momsme 2023 skill to support traditional artisans and craftspeople.
Pradhan Mantri Kaushal Vikas Yojana(PMKVY),skill,pradhan mantri kaushal vikas yojana(pmkvy) cs momsde 2015 skill to enable a large number of indian youth to take up industry-relevant skill training.
National Apprenticeship Promotion Scheme(NAPS),skill,national apprenticeship promotion scheme(naps) cs momsde 2016 skill to promote apprenticeship training in the country.
Startup India,skill,startup india cs moci 2016 entrepreneurship to build a strong ecosystem for nurturing innovation and startups in the country.
Prime Minister's Employment Generation Programme(PMEGP),skill,prime minister's employment generation programme(pmegp) cs momsme 2008 employment to generate employment opportunities through the establishment of micro-enterprises.
Deendayal Upadhyaya Grameen Kaushalya Yojana(DDU),skill,"deendayal upadhyaya grameen kaushalya yojana(ddu-gky, deen dayal upadhyaya rural skills schemes)   mrd 2014 skill a scheme to engage rural youth, especially bpl and sc st segments of the population, in gainful employment through skill training programmes"
Amrit Bharat Station Scheme,transport,"amrit bharat station scheme css mor 2023 transportation scheme to redevelop existing railway stations and make stations more comfortable and convenient for passengers, and to transform them into vibrant city centers."
Smart Cities Mission,transport,"smart cities mission css mohua 2015 urban redevelopment, retrofitting, greenfield development of 100 cities. large diversity in success of implementation."
PM eBus Seva,transport,pm ebus seva css mohua 2023 urban transport pm-ebus seva to deploy 10
Digital India Programme,transport,digital india programme cs meity 2015 infrastructure and services to ensure that government services are available to citizens electronically and to improve online infrastructure.
Atal Mission for Rejuvenation and Urban Transformation(AMRUT),transport,atal mission for rejuvenation and urban transformation(amrut) css mohua 2015 urban to provide basic services (e.g. water supply sewerage urban transport) to households and build amenities in cities which will improve the quality of life for all especially the poor and the disadvantaged.
Pradhan Mantri Gram Sadak Yojana(PMGSY),transport,pradhan mantri gram sadak yojana(pmgsy) css mord 2000 rural development to provide all-weather road connectivity to unconnected habitations.
National Heritage City Development and Augmentation Yojana,transport,national heritage city development and augmentation yojana(hriday) cs mohua 2015 urban development to preserve and rejuvenate the soul of heritage cities.
UDAN CS MoCA 2016 Aviation Regional Connectivity Scheme (RCS),transport,udan cs moca 2016 aviation regional connectivity scheme (rcs) - udan promotes affordable air travel by connecting unserved and underserved airports. it boosts regional connectivity and supports infrastructure upgrades for tier-2 and tier-3 cities.
PM SVANidhi,urban development,"provides collateral-free working capital loans of 10,000 to 50,000 to street vendors to support their livelihoods."
Jal Jeevan Mission,water,aims to provide 55 liters of potable water per capita per day to every rural household through tap water connections.
Namami Gange Programme,water,namami gange programme cs mowr 2014 water to rejuvenate the river ganga.
Swachh Bharat Abhiyan(SBA),water,swachh bharat abhiyan(sba) css mohua and mord 2014 sanitation to achieve universal sanitation coverage and to make india open defecation free.
